Metric,Overall,1h Ahead,12h Ahead,24h Ahead
MSE,0.3623439588180794,0.2606422351355132,0.3716592031942004,0.3644889431305311
RMSE,0.6019501298430622,0.5105313263018374,0.6096385840760085,0.6037291968511471
MAE,0.4534814841565341,0.3705340561652627,0.45709352367442163,0.4519065488738551
R²,0.2672558441460391,0.4724722624782428,0.24874944826764855,0.2632707585016626
MAPE (%),74.1078392328347,55.011916199700195,73.3492108799581,72.59612096621306
Max Error,2.0891593971252442,1.5705245010375977,2.0891593971252442,1.8608571567535401
Min Error,-4.5507793563206995,-3.676623596509298,-4.338283552487692,-4.35802222665151
